Wijk;Totaal misdrijven
Haarlemmerbuurt;75
Jordaan;158
Grachtengordel-West;78
Burgwallen-Nieuwe Zijde;373
Burgwallen-Oude Zijde;236
Nieuwmarkt/Lastage;148
Grachtengordel-Zuid;192
De Weteringschans;196
Weesperbuurt/Plantage;64
Oostelijke Eilanden/Kadijken;71
Havens-West;21
Coenhaven/Minervahaven;19
Sloterdijk-West;98
Spaarndammerbuurt/Zeeheldenbuurt;98
Houthavens;16
De Kolenkit;45
Landlust;102
Erasmuspark;27
Centrale Markt;16
Staatsliedenbuurt;54
Frederik Hendrikbuurt;36
Van Galenbuurt;38
Geuzenbuurt;43
Hoofdweg e.o.;55
Chassébuurt;23
Bellamybuurt;42
Da Costabuurt;34
Westindische Buurt;33
Van Lennepbuurt;37
Overtoomse Sluis;31
Helmersbuurt;67
Vondelparkbuurt;48
Sloterdijk Nieuw-West;106
Geuzenveld;58
Slotermeer-West;54
Slotermeer-Noordoost;57
Slotermeer-Zuidoost;50
Lutkemeer/Ookmeer;15
De Aker;24
De Punt;32
Osdorp-Midden;58
Osdorp-Oost;96
Slotervaart-Noord;63
Overtoomse Veld;88
Slotervaart-Zuid;58
Westlandgracht;72
Sloten/Nieuw-Sloten;51
Hoofddorppleinbuurt;66
Schinkelbuurt;15
Willemspark;49
Museumkwartier;154
Oude Pijp;132
Nieuwe Pijp;73
Zuid Pijp;34
Stadionbuurt;68
Apollobuurt;78
Scheldebuurt;77
IJselbuurt;24
Rijnbuurt;39
Prinses Irenebuurt e.o.;7
Zuidas;112
Buitenveldert-West;55
Buitenveldert-Oost;31
Oostelijk Havengebied;96
Weesperzijde;55
Oosterparkbuurt;100
Transvaalbuurt;49
Dapperbuurt;104
Indische Buurt-West;78
Indische Buurt-Oost;49
Zeeburgereiland/Bovendiep;30
IJburg-West;31
IJburg-Oost;0
IJburg-Zuid;7
Frankendael;121
Middenmeer;97
Betondorp;10
Omval/Overamstel;50
Oostzanerwerf;27
Noordelijke IJ-oevers-West;124
Tuindorp Oostzaan;30
Kadoelen;10
Banne Buiksloot;59
Nieuwendammerdijk/Buiksloterdijk;2
Elzenhagen;45
Buikslotermeer;82
Waterlandpleinbuurt;41
Volewijck;70
IJplein/Vogelbuurt;46
Tuindorp Buiksloot;6
Tuindorp Nieuwendam;1
Noordelijke IJ-oevers-Oost;14
Waterland;14
Driemond;2
Bloemendalerpolder;4
Weesp-Noordwest;27
Weesp Binnenstad/Zuid;18
Aetsveld/Oostelijke Vechtoever;6
Amstel III/Bullewijk;112
Venserpolder;32
Amsterdamse Poort e.o.;103
H-buurt;28
Ganzenhoef e.o.;54
Geerdinkhof/Kantershof;23
Bijlmermuseum;42
K-buurt;29
Holendrecht;34
Nellestein;18
Reigersbos;33
Gein;40
