Wijk;Totaal misdrijven
Haarlemmerbuurt;80
Jordaan;129
Grachtengordel-West;78
Burgwallen-Nieuwe Zijde;546
Burgwallen-Oude Zijde;402
Nieuwmarkt/Lastage;158
Grachtengordel-Zuid;294
De Weteringschans;184
Weesperbuurt/Plantage;76
Oostelijke Eilanden/Kadijken;77
Havens-West;21
Coenhaven/Minervahaven;29
Sloterdijk-West;19
Spaarndammerbuurt/Zeeheldenbuurt;89
Houthavens;21
De Kolenkit;47
Landlust;114
Erasmuspark;36
Centrale Markt;20
Staatsliedenbuurt;67
Frederik Hendrikbuurt;52
Van Galenbuurt;41
Geuzenbuurt;41
Hoofdweg e.o.;66
Chassébuurt;14
Bellamybuurt;61
Da Costabuurt;47
Westindische Buurt;38
Van Lennepbuurt;47
Overtoomse Sluis;47
Helmersbuurt;65
Vondelparkbuurt;37
Sloterdijk Nieuw-West;100
Geuzenveld;73
Slotermeer-West;49
Slotermeer-Noordoost;60
Slotermeer-Zuidoost;79
Lutkemeer/Ookmeer;23
De Aker;30
De Punt;40
Osdorp-Midden;77
Osdorp-Oost;107
Slotervaart-Noord;30
Overtoomse Veld;76
Slotervaart-Zuid;69
Westlandgracht;89
Sloten/Nieuw-Sloten;50
Hoofddorppleinbuurt;86
Schinkelbuurt;8
Willemspark;43
Museumkwartier;118
Oude Pijp;137
Nieuwe Pijp;84
Zuid Pijp;42
Stadionbuurt;89
Apollobuurt;62
Scheldebuurt;90
IJselbuurt;26
Rijnbuurt;27
Prinses Irenebuurt e.o.;10
Zuidas;133
Buitenveldert-West;53
Buitenveldert-Oost;44
Oostelijk Havengebied;96
Weesperzijde;47
Oosterparkbuurt;70
Transvaalbuurt;36
Dapperbuurt;87
Indische Buurt-West;53
Indische Buurt-Oost;48
Zeeburgereiland/Bovendiep;47
IJburg-West;49
IJburg-Oost;1
IJburg-Zuid;23
Frankendael;68
Middenmeer;94
Betondorp;10
Omval/Overamstel;42
Oostzanerwerf;39
Noordelijke IJ-oevers-West;67
Tuindorp Oostzaan;39
Kadoelen;8
Banne Buiksloot;71
Nieuwendammerdijk/Buiksloterdijk;4
Elzenhagen;30
Buikslotermeer;73
Waterlandpleinbuurt;60
Volewijck;89
IJplein/Vogelbuurt;35
Tuindorp Buiksloot;2
Tuindorp Nieuwendam;10
Noordelijke IJ-oevers-Oost;17
Waterland;18
Driemond;3
Bloemendalerpolder;2
Weesp-Noordwest;23
Weesp Binnenstad/Zuid;19
Aetsveld/Oostelijke Vechtoever;10
Amstel III/Bullewijk;129
Venserpolder;40
Amsterdamse Poort e.o.;139
H-buurt;40
Ganzenhoef e.o.;33
Geerdinkhof/Kantershof;19
Bijlmermuseum;49
K-buurt;28
Holendrecht;33
Nellestein;13
Reigersbos;39
Gein;23
