Gemeente;Totaal misdrijven
Aa en Hunze;41
Aalsmeer;137
Aalten;30
Achtkarspelen;46
Alblasserdam;55
Albrandswaard;77
Alkmaar;539
Almelo;343
Almere;828
Alphen aan den Rijn;311
Alphen-Chaam;13
Altena;109
Ameland;9
Amersfoort;705
Amstelveen;359
Amsterdam;7 380
Apeldoorn;666
Arnhem;982
Assen;321
Asten;37
Baarle-Nassau;20
Baarn;79
Barendrecht;144
Barneveld;172
Beek (L.);71
Beekdaelen;80
Beesel;22
Berg en Dal;119
Bergeijk;39
Bergen (L.);34
Bergen (NH.);57
Bergen op Zoom;270
Berkelland;87
Bernheze;63
Best;98
Beuningen;44
Beverwijk;169
De Bilt;158
Bladel;41
Blaricum;26
Bloemendaal;70
Bodegraven-Reeuwijk;141
Boekel;35
Borger-Odoorn;56
Borne;68
Borsele;30
Boxtel;109
Breda;911
Bronckhorst;31
Brummen;37
Brunssum;109
Bunnik;32
Bunschoten;37
Buren;48
Capelle aan den IJssel;216
Castricum;109
Coevorden;91
Cranendonck;95
Culemborg;85
Dalfsen;49
Dantumadiel;29
Delft;505
Deurne;90
Deventer;437
Diemen;159
Dijk en Waard;316
Dinkelland;47
Doesburg;28
Doetinchem;164
Dongen;73
Dordrecht;593
Drechterland;51
Drimmelen;53
Dronten;130
Druten;32
Duiven;59
Echt-Susteren;115
Edam-Volendam;60
Ede;384
Eemnes;22
Eemsdelta;132
Eersel;44
Eijsden-Margraten;57
Eindhoven;1 765
Elburg;58
Emmen;369
Enkhuizen;69
Enschede;766
Epe;71
Ermelo;75
Etten-Leur;152
De Fryske Marren;92
Geertruidenberg;64
Geldrop-Mierlo;116
Gemert-Bakel;70
Gennep;64
Gilze en Rijen;87
Goeree-Overflakkee;116
Goes;180
Goirle;69
Gooise Meren;230
Gorinchem;131
Gouda;323
's-Gravenhage;3 317
Groningen;1 343
Gulpen-Wittem;46
Haaksbergen;48
Haarlem;814
Haarlemmermeer;618
Halderberge;78
Hardenberg;123
Harderwijk;162
Hardinxveld-Giessendam;41
Harlingen;23
Hattem;18
Heemskerk;126
Heemstede;108
Heerde;33
Heerenveen;137
Heerlen;510
Heeze-Leende;37
Heiloo;62
Den Helder;284
Hellendoorn;67
Helmond;477
Hendrik-Ido-Ambacht;83
Hengelo (O.);328
's-Hertogenbosch;927
Heumen;44
Heusden;107
Hillegom;47
Hilvarenbeek;45
Hilversum;382
Hoeksche Waard;186
Hof van Twente;48
Het Hogeland;100
Hollands Kroon;116
Hoogeveen;196
Hoorn;306
Horst aan de Maas;128
Houten;103
Huizen;94
Hulst;61
IJsselstein;97
Kaag en Braassem;54
Kampen;149
Kapelle;33
Katwijk;202
Kerkrade;202
Koggenland;58
Krimpen aan den IJssel;61
Krimpenerwaard;134
Laarbeek;41
Land van Cuijk;212
Landgraaf;142
Landsmeer;38
Lansingerland;175
Laren (NH.);34
Leeuwarden;557
Leiden;637
Leiderdorp;70
Leidschendam-Voorburg;325
Lelystad;280
Leudal;88
Leusden;79
Lingewaard;109
Lisse;60
Lochem;67
Loon op Zand;77
Lopik;20
Losser;62
Maasdriel;61
Maasgouw;51
Maashorst;258
Maassluis;103
Maastricht;692
Medemblik;92
Meerssen;30
Meierijstad;216
Meppel;105
Middelburg (Z.);188
Midden-Delfland;61
Midden-Drenthe;60
Midden-Groningen;170
Moerdijk;142
Molenlanden;91
Montferland;81
Montfoort;41
Mook en Middelaar;20
Neder-Betuwe;83
Nederweert;39
Nieuwegein;295
Nieuwkoop;46
Nijkerk;115
Nijmegen;1 117
Nissewaard;328
Noardeast-Fryslân;86
