OBJECTNUMMER;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;index_right;wijkcode;wijknaam;gemeentenaam
1;POINT(4.897456 52.3767509);POINT(52.3767509 4.897456);4.897456;52.3767509;976;WK0363AD;Burgwallen-Nieuwe Zijde;Amsterdam
2;POINT(4.794352 52.399647);POINT(52.399647 4.794352);4.794352;52.399647;983;WK0363BA;Havens-West;Amsterdam
3;POINT(4.942965 52.364033);POINT(52.364033 4.942965);4.942965;52.364033;1042;WK0363MG;Indische Buurt-Oost;Amsterdam
4;POINT(4.931492 52.365037);POINT(52.365037 4.931492);4.931492;52.365037;1041;WK0363MF;Indische Buurt-West;Amsterdam
5;POINT(4.8698671 52.404552);POINT(52.404552 4.8698671);4.8698671;52.404552;984;WK0363BB;Coenhaven/Minervahaven;Amsterdam
6;POINT(4.869399 52.4041289);POINT(52.4041289 4.869399);4.869399;52.4041289;984;WK0363BB;Coenhaven/Minervahaven;Amsterdam
7;POINT(4.8692949 52.403875);POINT(52.403875 4.8692949);4.8692949;52.403875;984;WK0363BB;Coenhaven/Minervahaven;Amsterdam
8;POINT(4.869169 52.403606);POINT(52.403606 4.869169);4.869169;52.403606;984;WK0363BB;Coenhaven/Minervahaven;Amsterdam
9;POINT(4.8689689 52.40341);POINT(52.40341 4.8689689);4.8689689;52.40341;984;WK0363BB;Coenhaven/Minervahaven;Amsterdam
10;POINT(4.8685851 52.403094);POINT(52.403094 4.8685851);4.8685851;52.403094;984;WK0363BB;Coenhaven/Minervahaven;Amsterdam
11;POINT(4.893166 52.367065);POINT(52.367065 4.893166);4.893166;52.367065;976;WK0363AD;Burgwallen-Nieuwe Zijde;Amsterdam
12;POINT(4.792473 52.3628519);POINT(52.3628519 4.792473);4.792473;52.3628519;1013;WK0363FJ;Osdorp-Midden;Amsterdam
13;POINT(4.8971801 52.376882);POINT(52.376882 4.8971801);4.8971801;52.376882;976;WK0363AD;Burgwallen-Nieuwe Zijde;Amsterdam
14;POINT(4.886685 52.3304799);POINT(52.3304799 4.886685);4.886685;52.3304799;1035;WK0363KR;Buitenveldert-Oost;Amsterdam
15;POINT(4.8802081 52.366036);POINT(52.366036 4.8802081);4.8802081;52.366036;974;WK0363AB;Jordaan;Amsterdam
16;POINT(4.878756 52.388297);POINT(52.388297 4.878756);4.878756;52.388297;986;WK0363EB;Spaarndammerbuurt/Zeeheldenbuurt;Amsterdam
17;POINT(4.850656 52.3900871);POINT(52.3900871 4.850656);4.850656;52.3900871;985;WK0363EA;Sloterdijk-West;Amsterdam
18;POINT(4.855599 52.356764);POINT(52.356764 4.855599);4.855599;52.356764;1002;WK0363ET;Overtoomse Sluis;Amsterdam
19;POINT(4.855978 52.357141);POINT(52.357141 4.855978);4.855978;52.357141;1002;WK0363ET;Overtoomse Sluis;Amsterdam
20;POINT(4.9142821 52.387568);POINT(52.387568 4.9142821);4.9142821;52.387568;1060;WK0363NK;Volewijck;Amsterdam
21;POINT(4.8966819 52.376327);POINT(52.376327 4.8966819);4.8966819;52.376327;976;WK0363AD;Burgwallen-Nieuwe Zijde;Amsterdam
22;POINT(4.876606 52.389323);POINT(52.389323 4.876606);4.876606;52.389323;986;WK0363EB;Spaarndammerbuurt/Zeeheldenbuurt;Amsterdam
23;POINT(4.87693 52.388921);POINT(52.388921 4.87693);4.87693;52.388921;986;WK0363EB;Spaarndammerbuurt/Zeeheldenbuurt;Amsterdam
24;POINT(4.856439 52.35703);POINT(52.35703 4.856439);4.856439;52.35703;1002;WK0363ET;Overtoomse Sluis;Amsterdam
25;POINT(4.912837 52.383321);POINT(52.383321 4.912837);4.912837;52.383321;1061;WK0363NL;IJplein/Vogelbuurt;Amsterdam
26;POINT(4.875139 52.390107);POINT(52.390107 4.875139);4.875139;52.390107;986;WK0363EB;Spaarndammerbuurt/Zeeheldenbuurt;Amsterdam
27;POINT(4.874651 52.389963);POINT(52.389963 4.874651);4.874651;52.389963;986;WK0363EB;Spaarndammerbuurt/Zeeheldenbuurt;Amsterdam
28;POINT(4.9277821 52.38446);POINT(52.38446 4.9277821);4.9277821;52.38446;1064;WK0363NP;Noordelijke IJ-oevers-Oost;Amsterdam
29;POINT(4.873875 52.390379);POINT(52.390379 4.873875);4.873875;52.390379;986;WK0363EB;Spaarndammerbuurt/Zeeheldenbuurt;Amsterdam
30;POINT(4.927654 52.384653);POINT(52.384653 4.927654);4.927654;52.384653;1064;WK0363NP;Noordelijke IJ-oevers-Oost;Amsterdam
31;POINT(4.883102 52.385031);POINT(52.385031 4.883102);4.883102;52.385031;973;WK0363AA;Haarlemmerbuurt;Amsterdam
32;POINT(4.9259791 52.361146);POINT(52.361146 4.9259791);4.9259791;52.361146;1040;WK0363ME;Dapperbuurt;Amsterdam
33;POINT(4.87534 52.389444);POINT(52.389444 4.87534);4.87534;52.389444;986;WK0363EB;Spaarndammerbuurt/Zeeheldenbuurt;Amsterdam
34;POINT(4.876173 52.3896941);POINT(52.3896941 4.876173);4.876173;52.3896941;986;WK0363EB;Spaarndammerbuurt/Zeeheldenbuurt;Amsterdam
35;POINT(4.8738699 52.3910631);POINT(52.3910631 4.8738699);4.8738699;52.3910631;986;WK0363EB;Spaarndammerbuurt/Zeeheldenbuurt;Amsterdam
36;POINT(4.871249 52.3912091);POINT(52.3912091 4.871249);4.871249;52.3912091;986;WK0363EB;Spaarndammerbuurt/Zeeheldenbuurt;Amsterdam
37;POINT(4.872877 52.3905461);POINT(52.3905461 4.872877);4.872877;52.3905461;986;WK0363EB;Spaarndammerbuurt/Zeeheldenbuurt;Amsterdam
38;POINT(4.8710929 52.391546);POINT(52.391546 4.8710929);4.8710929;52.391546;986;WK0363EB;Spaarndammerbuurt/Zeeheldenbuurt;Amsterdam
39;POINT(4.926172 52.3608899);POINT(52.3608899 4.926172);4.926172;52.3608899;1040;WK0363ME;Dapperbuurt;Amsterdam
40;POINT(4.8707791 52.392229);POINT(52.392229 4.8707791);4.8707791;52.392229;986;WK0363EB;Spaarndammerbuurt/Zeeheldenbuurt;Amsterdam
