Wijk;Totaal misdrijven
Haarlemmerbuurt;86
Jordaan;156
Grachtengordel-West;83
Burgwallen-Nieuwe Zijde;500
Burgwallen-Oude Zijde;237
Nieuwmarkt/Lastage;144
Grachtengordel-Zuid;218
De Weteringschans;155
Weesperbuurt/Plantage;84
Oostelijke Eilanden/Kadijken;87
Havens-West;31
Coenhaven/Minervahaven;60
Sloterdijk-West;65
Spaarndammerbuurt/Zeeheldenbuurt;95
Houthavens;23
De Kolenkit;47
Landlust;127
Erasmuspark;24
Centrale Markt;19
Staatsliedenbuurt;55
Frederik Hendrikbuurt;55
Van Galenbuurt;32
Geuzenbuurt;36
Hoofdweg e.o.;62
Chassébuurt;23
Bellamybuurt;42
Da Costabuurt;40
Westindische Buurt;25
Van Lennepbuurt;57
Overtoomse Sluis;36
Helmersbuurt;59
Vondelparkbuurt;34
Sloterdijk Nieuw-West;139
Geuzenveld;83
Slotermeer-West;63
Slotermeer-Noordoost;56
Slotermeer-Zuidoost;47
Lutkemeer/Ookmeer;20
De Aker;41
De Punt;43
Osdorp-Midden;91
Osdorp-Oost;115
Slotervaart-Noord;45
Overtoomse Veld;79
Slotervaart-Zuid;63
Westlandgracht;85
Sloten/Nieuw-Sloten;80
Hoofddorppleinbuurt;81
Schinkelbuurt;17
Willemspark;24
Museumkwartier;161
Oude Pijp;155
Nieuwe Pijp;64
Zuid Pijp;26
Stadionbuurt;96
Apollobuurt;42
Scheldebuurt;85
IJselbuurt;28
Rijnbuurt;36
Prinses Irenebuurt e.o.;10
Zuidas;172
Buitenveldert-West;53
Buitenveldert-Oost;49
Oostelijk Havengebied;96
Weesperzijde;52
Oosterparkbuurt;114
Transvaalbuurt;42
Dapperbuurt;138
Indische Buurt-West;52
Indische Buurt-Oost;56
Zeeburgereiland/Bovendiep;30
IJburg-West;35
IJburg-Oost;4
IJburg-Zuid;29
Frankendael;97
Middenmeer;93
Betondorp;8
Omval/Overamstel;63
Oostzanerwerf;42
Noordelijke IJ-oevers-West;108
Tuindorp Oostzaan;42
Kadoelen;12
Banne Buiksloot;82
Nieuwendammerdijk/Buiksloterdijk;8
Elzenhagen;16
Buikslotermeer;109
Waterlandpleinbuurt;56
Volewijck;88
IJplein/Vogelbuurt;59
Tuindorp Buiksloot;4
Tuindorp Nieuwendam;20
Noordelijke IJ-oevers-Oost;16
Waterland;16
Driemond;3
Bloemendalerpolder;13
Weesp-Noordwest;29
Weesp Binnenstad/Zuid;22
Aetsveld/Oostelijke Vechtoever;15
Amstel III/Bullewijk;200
Venserpolder;33
Amsterdamse Poort e.o.;187
H-buurt;43
Ganzenhoef e.o.;52
Geerdinkhof/Kantershof;19
Bijlmermuseum;52
K-buurt;35
Holendrecht;52
Nellestein;12
Reigersbos;47
Gein;33
