Wijk;Totaal misdrijven
Haarlemmerbuurt;74
Jordaan;138
Grachtengordel-West;90
Burgwallen-Nieuwe Zijde;448
Burgwallen-Oude Zijde;233
Nieuwmarkt/Lastage;147
Grachtengordel-Zuid;198
De Weteringschans;135
Weesperbuurt/Plantage;81
Oostelijke Eilanden/Kadijken;98
Havens-West;17
Coenhaven/Minervahaven;33
Sloterdijk-West;34
Spaarndammerbuurt/Zeeheldenbuurt;81
Houthavens;27
De Kolenkit;49
Landlust;117
Erasmuspark;32
Centrale Markt;28
Staatsliedenbuurt;41
Frederik Hendrikbuurt;44
Van Galenbuurt;30
Geuzenbuurt;47
Hoofdweg e.o.;74
Chassébuurt;24
Bellamybuurt;44
Da Costabuurt;45
Westindische Buurt;33
Van Lennepbuurt;55
Overtoomse Sluis;27
Helmersbuurt;57
Vondelparkbuurt;48
Sloterdijk Nieuw-West;139
Geuzenveld;87
Slotermeer-West;56
Slotermeer-Noordoost;53
Slotermeer-Zuidoost;60
Lutkemeer/Ookmeer;19
De Aker;38
De Punt;50
Osdorp-Midden;93
Osdorp-Oost;114
Slotervaart-Noord;35
Overtoomse Veld;81
Slotervaart-Zuid;66
Westlandgracht;71
Sloten/Nieuw-Sloten;65
Hoofddorppleinbuurt;81
Schinkelbuurt;25
Willemspark;40
Museumkwartier;160
Oude Pijp;135
Nieuwe Pijp;71
Zuid Pijp;34
Stadionbuurt;101
Apollobuurt;83
Scheldebuurt;83
IJselbuurt;34
Rijnbuurt;45
Prinses Irenebuurt e.o.;15
Zuidas;129
Buitenveldert-West;71
Buitenveldert-Oost;61
Oostelijk Havengebied;79
Weesperzijde;54
Oosterparkbuurt;113
Transvaalbuurt;32
Dapperbuurt;124
Indische Buurt-West;45
Indische Buurt-Oost;59
Zeeburgereiland/Bovendiep;29
IJburg-West;46
IJburg-Oost;5
IJburg-Zuid;21
Frankendael;102
Middenmeer;81
Betondorp;13
Omval/Overamstel;62
Oostzanerwerf;46
Noordelijke IJ-oevers-West;96
Tuindorp Oostzaan;39
Kadoelen;15
Banne Buiksloot;42
Nieuwendammerdijk/Buiksloterdijk;7
Elzenhagen;33
Buikslotermeer;92
Waterlandpleinbuurt;55
Volewijck;66
IJplein/Vogelbuurt;35
Tuindorp Buiksloot;8
Tuindorp Nieuwendam;6
Noordelijke IJ-oevers-Oost;12
Waterland;13
Driemond;5
Bloemendalerpolder;6
Weesp-Noordwest;16
Weesp Binnenstad/Zuid;18
Aetsveld/Oostelijke Vechtoever;10
Amstel III/Bullewijk;123
Venserpolder;34
Amsterdamse Poort e.o.;121
H-buurt;36
Ganzenhoef e.o.;69
Geerdinkhof/Kantershof;22
Bijlmermuseum;43
K-buurt;41
Holendrecht;42
Nellestein;22
Reigersbos;32
Gein;15
