ID;WijkenEnBuurten;Gemeentenaam_1;SoortRegio_2;Codering_3;IndelingswijzigingWijkenEnBuurten_4;AfstandTotHuisartsenpraktijk_5;Binnen1Km_6;Binnen3Km_7;Binnen5Km_8;AfstandTotHuisartsenpost_9;AfstandTotApotheek_10;AfstandTotZiekenhuis_11;Binnen5Km_12;Binnen10Km_13;Binnen20Km_14;AfstandTotZiekenhuis_15;Binnen5Km_16;Binnen10Km_17;Binnen20Km_18;AfstandTotGroteSupermarkt_24;Binnen1Km_25;Binnen3Km_26;Binnen5Km_27;AfstandTotOvDagelLevensmiddelen_28;Binnen1Km_29;Binnen3Km_30;Binnen5Km_31;AfstandTotWarenhuis_32;Binnen5Km_33;Binnen10Km_34;Binnen20Km_35;AfstandTotCafeED_36;Binnen1Km_37;Binnen3Km_38;Binnen5Km_39;AfstandTotCafetariaED_40;Binnen1Km_41;Binnen3Km_42;Binnen5Km_43;AfstandTotRestaurant_44;Binnen1Km_45;Binnen3Km_46;Binnen5Km_47;AfstandTotHotelED_48;Binnen5Km_49;Binnen10Km_50;Binnen20Km_51;AfstandTotKinderdagverblijf_52;Binnen1Km_53;Binnen3Km_54;Binnen5Km_55;AfstandTotBuitenschoolseOpvang_56;Binnen1Km_57;Binnen3Km_58;Binnen5Km_59;AfstandTotSchool_60;Binnen1Km_61;Binnen3Km_62;Binnen5Km_63;AfstandTotSchool_64;Binnen3Km_65;Binnen5Km_66;Binnen10Km_67;AfstandTotSchool_68;Binnen3Km_69;Binnen5Km_70;Binnen10Km_71;AfstandTotSchool_72;Binnen3Km_73;Binnen5Km_74;Binnen10Km_75;AfstandTotOpritHoofdverkeersweg_89;AfstandTotTreinstationsTotaal_90;AfstandTotBelangrijkOverstapstation_91;AfstandTotBibliotheek_92;AfstandTotZwembad_93;AfstandTotKunstijsbaan_94;AfstandTotMuseum_95;Binnen5Km_96;Binnen10Km_97;Binnen20Km_98;AfstandTotPodiumkunstenTotaal_99;Binnen5Km_100;Binnen10Km_101;Binnen20Km_102;AfstandTotPoppodium_103;AfstandTotBioscoop_104;Binnen5Km_105;Binnen10Km_106;Binnen20Km_107;AfstandTotSauna_108;AfstandTotZonnebank_109;AfstandTotAttractie_110;Binnen10Km_111;Binnen20Km_112;Binnen50Km_113;AfstandTotBrandweerkazerne_114
1170;GM0363    ;Amsterdam                               ;Gemeente  ;GM0363    ;3;0.6;3;28.3;67.4;3.2;0.7;2.6;2.1;5.4;13;3;1.5;4.4;9.5;0.6;4;36.1;86.8;0.5;21.2;205.8;497.8;1.6;7;18.9;37.5;0.8;10.6;126.4;311.5;0.4;15;164.9;405.8;0.4;35.8;402.9;982.6;0.9;189.3;383.9;509.5;0.4;7.3;68.8;165.4;0.5;3.7;35.8;89;0.6;2.5;22.4;55.3;1.1;9.5;23.5;63.1;1.1;6.6;16.4;45.6;1.3;7.1;17.3;43.5;2.2;2.8;3.9;1.3;2.2;7.3;2.5;20.8;43.2;63.3;1.8;17.7;41.2;60;4;3.1;5.5;11.7;18.2;2.5;2;3.2;5.3;13.8;61.4;2.1
1171;WK0363AA  ;Amsterdam                               ;Wijk      ;WK0363AA  ;2;0.5;3.8;32.2;96;4.5;0.7;2;2.7;6;14.1;4.5;1.7;5;10.1;0.4;4.5;44.5;124.3;0.3;47.6;406.5;819.2;0.7;9;21.6;41.3;0.3;27.3;383.1;604.8;0.3;26.8;371;697.4;0.1;74.9;899.9;1720;0.5;355.2;427.8;519.4;0.3;4.5;65.7;212.4;0.6;3.4;31.8;103.9;0.6;1.6;16;62.8;0.7;5.5;24.6;76;0.7;3.1;16.5;55.6;0.7;5.3;20;51;3.4;1.6;1.6;1.3;1.4;6.5;1.2;41.4;47;67.2;0.7;32.7;44.9;64.7;2.6;0.9;10.8;13;20.8;1.5;0.8;3.3;6.9;14;62.2;1.9
1172;BU0363AA01;Amsterdam                               ;Buurt     ;BU0363AA01;2;0.8;3.8;30.8;87.8;4.6;0.6;2.4;3;6;14.7;4.6;2;5;10.7;0.3;5.7;43.8;115.4;0.4;42.4;389.1;788.4;0.3;8.2;22.8;41.6;0.4;20.9;353.2;594.4;0.3;16.3;356.9;675.8;0.1;56.8;837.7;1661;0.8;352.2;426.9;521.7;0.1;9.3;70;197.5;0.1;7.6;31.6;96.7;0.5;2;15.7;60.1;0.9;5;21.9;74;0.9;3;15.8;54;0.9;5;17.9;49;2.9;2.1;2.1;0.9;1.1;6.9;1.4;41;47;67;0.4;32.2;44;65;2.7;0.5;11;13;20.7;1.9;0.4;3.7;6.6;15;63;1.7
1173;BU0363AA02;Amsterdam                               ;Buurt     ;BU0363AA02;2;0.8;2.3;29.5;87.5;4.7;0.7;2.3;2.7;6;14.2;4.7;1.7;5;10.2;0.6;3.7;39.8;115.8;0.5;30.7;369.1;780.3;0.6;8.1;22.1;41.1;0.5;14;336.1;591.4;0.5;15.5;332.9;673.5;0.2;42.5;777.8;1646;0.8;347.8;427.2;516.2;0.3;5.4;60;193;0.4;5.6;29;94.4;0.4;1.9;14.3;56.3;1;4.9;20.5;74.5;1;3;14.9;54.5;1;4.9;16.8;49.5;3.2;1.9;1.9;1.1;1.4;6.8;1.5;41;47;67;0.6;32.1;44;64.9;2.9;0.8;10.6;13;20.8;1.8;0.7;3.6;6.7;14.9;62.5;2
1174;BU0363AA03;Amsterdam                               ;Buurt     ;BU0363AA03;2;0.2;2;28.8;92.9;4.5;1.2;2;2.1;6;14;4.5;1.1;5;10;0.7;1.9;37.3;122.4;0.6;21.8;371.2;799.5;1;8.2;21.3;40.2;0.4;14.7;353.7;598.6;0.2;18.9;335.1;686.1;0.1;37.1;802.6;1684;0.4;346.7;427.4;512.2;0.2;1.9;55.8;198.4;0.7;2.3;29.4;96.2;1;0.4;14.7;55.8;0.7;4.5;21.3;76.4;0.7;2.4;15.6;55.9;0.7;4.5;16.9;51.4;3.8;1.2;1.2;1.7;1.8;6.5;1.5;41;47;67;0.9;32.4;44.6;63.6;2.8;1.4;10.7;13;20.4;1.5;1.3;3.2;7;10.7;61.7;2.4
1175;BU0363AA04;Amsterdam                               ;Buurt     ;BU0363AA04;2;0.6;5.5;35;97.2;4.3;0.5;2.2;2.8;6;15;4.3;1.8;5;11;0.2;8.1;48.4;123.2;0.2;63.8;427.8;823.1;0.2;10.1;23;42.9;0.4;32.9;383.6;608;0.1;26.3;385.8;698.5;0.1;99.2;932.6;1721;0.7;358.1;429.4;527;0.3;15.7;83.3;216.7;0.3;7.1;35.3;105.8;0.7;3.3;20;67.1;0.9;7;26.3;74.1;0.9;4.2;17.1;54.1;0.9;5.8;22.3;49;2.7;2;2;0.6;0.9;6.8;1.1;41.5;47;67.5;0.4;32.7;44.8;64.8;2.5;0.4;11;13;20.8;1.7;0.4;3.6;6.8;15.8;63;1.5
1176;BU0363AA05;Amsterdam                               ;Buurt     ;BU0363AA05;2;0.3;5.1;33.4;102.2;4.4;0.3;1.8;3;6;14.1;4.4;2;5;10.1;0.2;6.3;49.5;127.9;0.1;67.5;439.2;846;0.6;9.4;21.2;42;0.2;35.6;423.2;615.9;0.1;29.2;407.9;713.4;0.1;102.6;1008;1770;0.3;363.6;428;524.3;0.5;5.1;70.1;225.9;0.7;2.3;32.7;110.3;0.7;2;16.1;67.9;0.4;6.2;28.1;76.5;0.4;3.3;17.5;56;0.4;5.9;23.1;51.5;3.3;1.6;1.6;1.2;1.1;6.4;0.9;41.6;47;67.2;0.6;33;45.2;65;2.4;0.6;11;13;21;1.3;0.6;3.2;7;15.2;62.1;1.7
1177;BU0363AA06;Amsterdam                               ;Buurt     ;BU0363AA06;2;0.3;6.6;39.5;107.9;4.2;0.8;1.4;3;6;14;4.2;2;5;10;0.3;5.9;54.3;139.5;0.1;79.5;471.4;881.9;0.9;10.7;21.2;41.5;0.2;55.7;452.8;622.9;0.2;56.7;431.4;736.6;0.1;140.6;1093;1840;0.2;367.1;429.2;525.2;0.3;2.8;78.5;248.1;1;0.7;38.1;122.7;0.4;1.4;20.4;75.9;0.3;6.9;31.4;78.4;0.3;3.9;19.1;57.5;0.3;6;25.1;53.4;3.6;1.3;1.3;1.5;1.3;6.1;0.8;42.1;47;67.7;0.6;33.7;46.5;65;2.1;1;11;13;21;0.9;0.9;2.9;7.4;14.1;62.2;1.7
1178;WK0363AB  ;Amsterdam                               ;Wijk      ;WK0363AB  ;2;0.4;6.4;51.1;107.7;3.7;0.5;1.5;3;6;13.5;3.7;2;5;10;0.4;7;66.2;142.6;0.2;74.9;565.6;904.4;1.2;11.4;22.2;40.8;0.2;51.9;488.3;624.3;0.2;46.7;494.7;752.2;0.1;140.2;1246;1873;0.4;370.6;431.1;526.8;0.4;8;112.8;272.4;0.5;3.8;51.1;131.6;0.6;2.3;28.5;80.3;0.7;9.1;35.4;76.7;0.9;5.9;22.6;56;0.7;7.9;29.3;51.3;3.2;2.3;2.3;1.1;0.8;6.8;0.6;42.9;48;68.1;0.6;34.2;48.2;64.6;1.5;1;11;13.2;20.4;1.1;0.8;3.2;7;14.9;62.8;0.9
1179;BU0363AB01;Amsterdam                               ;Buurt     ;BU0363AB01;2;0.5;6.7;42.5;97.4;3.8;0.6;2;2.9;6;14.5;3.8;1.9;5;10.5;0.5;8.2;53.5;131.7;0.2;77;487.2;860.4;0.6;11.4;21.9;42.9;0.3;38.4;429.6;612;0.3;31.7;431.4;723.4;0.1;115.6;1059;1786;0.6;364.8;429.4;529;0.4;13.2;95.4;248.2;0.6;7.6;42.9;121.5;0.9;1.6;23.9;72.4;0.7;7;32.1;74;0.7;4;21;54;0.7;6;26.8;49;3;2.1;2.1;0.8;0.4;7;0.9;42.8;47.4;68;0.7;33.2;46.5;64.6;2;0.8;11;13;20.2;1.6;0.7;3.2;6.2;16;63;1
