Wijk,Totaal misdrijven
Aetsveld/Oostelijke Vechtoever,11.0
Amstel III/Bullewijk,139.0
Amsterdamse Poort e.o.,136.0
Apollobuurt,63.0
Banne Buiksloot,59.0
Bellamybuurt,45.0
Betondorp,12.0
Bijlmermuseum,46.0
Bloemendalerpolder,6.0
Buikslotermeer,94.0
Buitenveldert-Oost,42.0
Buitenveldert-West,63.0
Burgwallen-Nieuwe Zijde,452.0
Burgwallen-Oude Zijde,259.0
Centrale Markt,19.0
Chassébuurt,20.0
Coenhaven/Minervahaven,33.0
Da Costabuurt,38.0
Dapperbuurt,114.0
De Aker,34.0
De Kolenkit,47.0
De Punt,40.0
De Weteringschans,169.0
Driemond,4.0
Elzenhagen,30.0
Erasmuspark,28.0
Frankendael,96.0
Frederik Hendrikbuurt,47.0
Ganzenhoef e.o.,52.0
Geerdinkhof/Kantershof,19.0
Gein,33.0
Geuzenbuurt,35.0
Geuzenveld,76.0
Grachtengordel-West,92.0
Grachtengordel-Zuid,230.0
H-buurt,39.0
Haarlemmerbuurt,73.0
Havens-West,21.0
Helmersbuurt,60.0
Holendrecht,40.0
Hoofddorppleinbuurt,76.0
Hoofdweg e.o.,58.0
Houthavens,17.0
IJburg-Oost,3.0
IJburg-West,40.0
IJburg-Zuid,21.0
IJplein/Vogelbuurt,44.0
IJselbuurt,28.0
Indische Buurt-Oost,49.0
Indische Buurt-West,54.0
Jordaan,150.0
K-buurt,29.0
Kadoelen,14.0
Landlust,101.0
Lutkemeer/Ookmeer,16.0
Middenmeer,86.0
Museumkwartier,143.0
Nellestein,18.0
Nieuwe Pijp,75.0
Nieuwendammerdijk/Buiksloterdijk,4.0
Nieuwmarkt/Lastage,158.0
Noordelijke IJ-oevers-Oost,14.0
Noordelijke IJ-oevers-West,86.0
Omval/Overamstel,50.0
Oostelijk Havengebied,83.0
Oostelijke Eilanden/Kadijken,82.0
Oosterparkbuurt,100.0
Oostzanerwerf,41.0
Osdorp-Midden,74.0
Osdorp-Oost,101.0
Oude Pijp,135.0
Overtoomse Sluis,35.0
Overtoomse Veld,82.0
Prinses Irenebuurt e.o.,11.0
Reigersbos,37.0
Rijnbuurt,40.0
Scheldebuurt,79.0
Schinkelbuurt,16.0
Sloten/Nieuw-Sloten,58.0
Sloterdijk Nieuw-West,123.0
Sloterdijk-West,38.0
Slotermeer-Noordoost,58.0
Slotermeer-West,56.0
Slotermeer-Zuidoost,58.0
Slotervaart-Noord,37.0
Slotervaart-Zuid,63.0
Spaarndammerbuurt/Zeeheldenbuurt,81.0
Staatsliedenbuurt,53.0
Stadionbuurt,78.0
Transvaalbuurt,41.0
Tuindorp Buiksloot,6.0
Tuindorp Nieuwendam,11.0
Tuindorp Oostzaan,39.0
Van Galenbuurt,32.0
Van Lennepbuurt,42.0
Venserpolder,35.0
Volewijck,70.0
Vondelparkbuurt,37.0
Waterland,14.0
Waterlandpleinbuurt,51.0
Weesp Binnenstad/Zuid,22.0
Weesp-Noordwest,28.0
Weesperbuurt/Plantage,73.0
Weesperzijde,55.0
Westindische Buurt,29.0
Westlandgracht,85.0
Willemspark,37.0
Zeeburgereiland/Bovendiep,30.0
Zuid Pijp,32.0
Zuidas,131.0
