wijkcode,aantal_bomen
WK035802,7
WK036201,3
WK036205,1
WK036207,965
WK036214,5797
WK036399,41
WK0363AA,843
WK0363AB,1211
WK0363AC,796
WK0363AD,448
WK0363AE,423
WK0363AF,1201
WK0363AG,823
WK0363AH,1080
WK0363AJ,1412
WK0363AK,2457
WK0363BA,414
WK0363BB,145
WK0363EA,2508
WK0363EB,4368
WK0363EC,795
WK0363ED,1834
WK0363EE,2564
WK0363EF,1548
WK0363EG,887
WK0363EH,1161
WK0363EJ,861
WK0363EK,815
WK0363EL,586
WK0363EM,865
WK0363EN,424
WK0363EP,432
WK0363EQ,491
WK0363ER,683
WK0363ES,496
WK0363ET,505
WK0363EU,745
WK0363EV,226
WK0363FA,7408
WK0363FB,10515
WK0363FC,2666
WK0363FD,3158
WK0363FE,4434
WK0363FF,4856
WK0363FG,4081
WK0363FH,1615
WK0363FJ,3044
WK0363FK,4240
WK0363FL,3729
WK0363FM,4754
WK0363FN,3033
WK0363FP,3501
WK0363FQ,12312
WK0363KA,2552
WK0363KB,960
WK0363KC,3500
WK0363KD,4587
WK0363KE,1588
WK0363KF,1108
WK0363KG,1052
WK0363KH,2920
WK0363KJ,2569
WK0363KK,2859
WK0363KL,706
WK0363KM,2773
WK0363KN,2753
WK0363KP,3381
WK0363KQ,10917
WK0363KR,11288
WK0363MA,2417
WK0363MB,952
WK0363MC,2325
WK0363MD,1114
WK0363ME,1517
WK0363MF,1020
WK0363MG,3193
WK0363MH,3071
WK0363MJ,2189
WK0363MK,74
WK0363ML,1621
WK0363MM,6825
WK0363MN,7863
WK0363MP,5582
WK0363MQ,2899
WK0363NA,6631
WK0363NB,2759
WK0363NC,4121
WK0363ND,1681
WK0363NE,6177
WK0363NF,727
WK0363NG,3043
WK0363NH,5090
WK0363NJ,5388
WK0363NK,4306
WK0363NL,5604
WK0363NM,428
WK0363NN,1409
WK0363NP,459
WK0363NQ,3952
WK0363SA,1385
WK0363SB,1847
WK0363SC,2537
WK0363SD,1973
WK0363SE,2803
WK0363TA,3606
WK0363TB,2309
WK0363TC,3869
WK0363TD,2493
WK0363TE,2519
WK0363TF,6556
WK0363TG,2472
WK0363TH,2999
WK0363TJ,5415
WK0363TK,2767
WK0363TL,2917
WK0363TM,3891
WK038403,158
WK038404,91
WK038405,90
WK039422,22
WK043700,2852
WK073607,2
WK194204,6
