ID;WijkenEnBuurten;Gemeentenaam_1;SoortRegio_2;Codering_3;IndelingswijzigingWijkenEnBuurten_4;AfstandTotHuisartsenpraktijk_5;AfstandTotHuisartsenpost_9;AfstandTotApotheek_10;AfstandTotZiekenhuis_11;AfstandTotZiekenhuis_15;AfstandTotGroteSupermarkt_24;AfstandTotOvDagelLevensmiddelen_28;AfstandTotWarenhuis_32;AfstandTotCafeED_36;AfstandTotCafetariaED_40;AfstandTotRestaurant_44;AfstandTotHotelED_48;AfstandTotKinderdagverblijf_52;AfstandTotBuitenschoolseOpvang_56;AfstandTotSchool_60;AfstandTotSchool_64;AfstandTotSchool_68;AfstandTotSchool_72;AfstandTotOpritHoofdverkeersweg_89;AfstandTotTreinstationsTotaal_90;AfstandTotBelangrijkOverstapstation_91;AfstandTotBibliotheek_92;AfstandTotZwembad_93;AfstandTotKunstijsbaan_94;AfstandTotMuseum_95;AfstandTotPodiumkunstenTotaal_99;AfstandTotPoppodium_103;AfstandTotBioscoop_104;AfstandTotSauna_108;AfstandTotZonnebank_109;AfstandTotAttractie_110;AfstandTotBrandweerkazerne_114
1170;GM0363    ;Amsterdam                               ;Gemeente  ;GM0363    ;3;0.6;3.2;0.7;2.6;3.0;0.6;0.5;1.6;0.8;0.4;0.4;0.9;0.4;0.5;0.6;1.1;1.1;1.3;2.2;2.8;3.9;1.3;2.2;7.3;2.5;1.8;4.0;3.1;2.5;2.0;3.2;2.1
1171;WK0363AA  ;Amsterdam                               ;Wijk      ;WK0363AA  ;2;0.5;4.5;0.7;2.0;4.5;0.4;0.3;0.7;0.3;0.3;0.1;0.5;0.3;0.6;0.6;0.7;0.7;0.7;3.4;1.6;1.6;1.3;1.4;6.5;1.2;0.7;2.6;0.9;1.5;0.8;3.3;1.9
1172;BU0363AA01;Amsterdam                               ;Buurt     ;BU0363AA01;2;0.8;4.6;0.6;2.4;4.6;0.3;0.4;0.3;0.4;0.3;0.1;0.8;0.1;0.1;0.5;0.9;0.9;0.9;2.9;2.1;2.1;0.9;1.1;6.9;1.4;0.4;2.7;0.5;1.9;0.4;3.7;1.7
1173;BU0363AA02;Amsterdam                               ;Buurt     ;BU0363AA02;2;0.8;4.7;0.7;2.3;4.7;0.6;0.5;0.6;0.5;0.5;0.2;0.8;0.3;0.4;0.4;1.0;1.0;1.0;3.2;1.9;1.9;1.1;1.4;6.8;1.5;0.6;2.9;0.8;1.8;0.7;3.6;2.0
1174;BU0363AA03;Amsterdam                               ;Buurt     ;BU0363AA03;2;0.2;4.5;1.2;2.0;4.5;0.7;0.6;1.0;0.4;0.2;0.1;0.4;0.2;0.7;1.0;0.7;0.7;0.7;3.8;1.2;1.2;1.7;1.8;6.5;1.5;0.9;2.8;1.4;1.5;1.3;3.2;2.4
1175;BU0363AA04;Amsterdam                               ;Buurt     ;BU0363AA04;2;0.6;4.3;0.5;2.2;4.3;0.2;0.2;0.2;0.4;0.1;0.1;0.7;0.3;0.3;0.7;0.9;0.9;0.9;2.7;2.0;2.0;0.6;0.9;6.8;1.1;0.4;2.5;0.4;1.7;0.4;3.6;1.5
1176;BU0363AA05;Amsterdam                               ;Buurt     ;BU0363AA05;2;0.3;4.4;0.3;1.8;4.4;0.2;0.1;0.6;0.2;0.1;0.1;0.3;0.5;0.7;0.7;0.4;0.4;0.4;3.3;1.6;1.6;1.2;1.1;6.4;0.9;0.6;2.4;0.6;1.3;0.6;3.2;1.7
1177;BU0363AA06;Amsterdam                               ;Buurt     ;BU0363AA06;2;0.3;4.2;0.8;1.4;4.2;0.3;0.1;0.9;0.2;0.2;0.1;0.2;0.3;1.0;0.4;0.3;0.3;0.3;3.6;1.3;1.3;1.5;1.3;6.1;0.8;0.6;2.1;1.0;0.9;0.9;2.9;1.7
1178;WK0363AB  ;Amsterdam                               ;Wijk      ;WK0363AB  ;2;0.4;3.7;0.5;1.5;3.7;0.4;0.2;1.2;0.2;0.2;0.1;0.4;0.4;0.5;0.6;0.7;0.9;0.7;3.2;2.3;2.3;1.1;0.8;6.8;0.6;0.6;1.5;1.0;1.1;0.8;3.2;0.9
1179;BU0363AB01;Amsterdam                               ;Buurt     ;BU0363AB01;2;0.5;3.8;0.6;2.0;3.8;0.5;0.2;0.6;0.3;0.3;0.1;0.6;0.4;0.6;0.9;0.7;0.7;0.7;3.0;2.1;2.1;0.8;0.4;7.0;0.9;0.7;2.0;0.8;1.6;0.7;3.2;1.0
