wijkcode,wijknaam,aantal_lantaarns,Totaal misdrijven,wijkcode_clean,AfstandTotHuisartsenpraktijk_5,AfstandTotHuisartsenpost_9,AfstandTotApotheek_10,AfstandTotZiekenhuis_11,AfstandTotZiekenhuis_15,AfstandTotGroteSupermarkt_24,AfstandTotOvDagelLevensmiddelen_28,AfstandTotWarenhuis_32,AfstandTotCafeED_36,AfstandTotCafetariaED_40,AfstandTotRestaurant_44,AfstandTotHotelED_48,AfstandTotKinderdagverblijf_52,AfstandTotBuitenschoolseOpvang_56,AfstandTotSchool_60,AfstandTotSchool_64,AfstandTotSchool_68,AfstandTotSchool_72,AfstandTotOpritHoofdverkeersweg_89,AfstandTotTreinstationsTotaal_90,AfstandTotBelangrijkOverstapstation_91,AfstandTotBibliotheek_92,AfstandTotZwembad_93,AfstandTotKunstijsbaan_94,AfstandTotMuseum_95,AfstandTotPodiumkunstenTotaal_99,AfstandTotPoppodium_103,AfstandTotBioscoop_104,AfstandTotSauna_108,AfstandTotZonnebank_109,AfstandTotAttractie_110,AfstandTotBrandweerkazerne_114
WK0363AA,Haarlemmerbuurt,885,73.0,wk0363aa,0.5,4.5,0.7,2.0,4.5,0.4,0.3,0.7,0.3,0.3,0.1,0.5,0.3,0.6,0.6,0.7,0.7,0.7,3.4,1.6,1.6,1.3,1.4,6.5,1.2,0.7,2.6,0.9,1.5,0.8,3.3,1.9
WK0363AB,Jordaan,1330,150.0,wk0363ab,0.4,3.7,0.5,1.5,3.7,0.4,0.2,1.2,0.2,0.2,0.1,0.4,0.4,0.5,0.6,0.7,0.9,0.7,3.2,2.3,2.3,1.1,0.8,6.8,0.6,0.6,1.5,1.0,1.1,0.8,3.2,0.9
WK0363AC,Grachtengordel-West,665,92.0,wk0363ac,0.4,3.9,0.7,1.0,3.9,0.4,0.2,0.9,0.2,0.2,0.2,0.2,0.5,0.8,0.7,0.8,1.1,0.8,3.6,1.8,1.8,1.5,1.2,6.3,0.5,0.5,1.4,1.2,0.6,0.8,3.1,1.3
WK0363AD,Burgwallen-Nieuwe Zijde,902,452.0,wk0363ad,0.5,3.7,0.7,0.8,3.7,0.4,0.1,0.6,0.1,0.1,0.0,0.1,0.8,1.2,1.1,1.2,1.4,1.2,4.0,1.5,1.5,1.7,1.6,6.0,0.5,0.8,1.7,1.4,0.5,1.2,2.7,1.7
WK0363AE,Burgwallen-Oude Zijde,861,259.0,wk0363ae,0.5,3.2,0.4,1.1,3.2,0.3,0.1,0.7,0.1,0.1,0.1,0.1,0.5,0.7,0.8,1.9,1.9,1.9,4.4,1.1,1.1,1.2,2.1,5.4,0.3,0.5,2.1,1.2,0.5,1.7,2.2,2.0
WK0363AF,Nieuwmarkt/Lastage,1273,158.0,wk0363af,0.5,2.6,0.7,1.7,2.6,0.5,0.3,1.3,0.2,0.3,0.2,0.3,0.4,0.5,0.6,2.0,2.0,2.0,4.8,1.3,1.3,1.3,2.4,4.8,0.6,0.6,2.5,1.3,1.1,2.0,1.5,2.5
WK0363AG,Grachtengordel-Zuid,698,230.0,wk0363ag,0.6,2.5,0.5,1.5,2.5,0.4,0.1,1.0,0.2,0.2,0.1,0.2,0.5,0.7,0.8,1.1,1.7,1.1,3.7,2.4,2.4,1.9,1.4,5.2,0.4,0.5,1.2,0.5,1.3,0.9,2.2,2.0
WK0363AH,De Weteringschans,911,169.0,wk0363ah,0.5,2.4,0.5,1.8,2.4,0.5,0.3,1.4,0.3,0.3,0.2,0.2,0.5,0.5,0.6,0.8,1.4,0.8,3.4,2.8,2.9,1.6,1.1,5.1,0.6,0.5,1.0,0.8,1.7,0.6,2.2,1.9
WK0363AJ,Weesperbuurt/Plantage,751,73.0,wk0363aj,0.5,1.4,0.7,1.3,1.4,0.6,0.4,1.9,0.4,0.4,0.3,0.4,0.5,0.5,0.6,1.1,1.1,1.1,4.1,1.9,2.3,1.6,1.6,3.8,0.6,0.8,2.2,0.7,1.9,1.2,0.8,1.9
WK0363AK,Oostelijke Eilanden/Kadijken,1315,82.0,wk0363ak,0.7,2.3,0.6,2.3,2.3,0.6,0.4,2.0,0.5,0.4,0.3,0.5,0.5,0.5,0.7,1.6,1.6,1.6,4.1,1.7,2.3,1.7,2.4,3.7,1.0,1.5,2.6,2.0,2.1,1.5,1.7,1.8
WK0363BA,Havens-West,3053,21.0,wk0363ba,3.8,5.9,3.9,5.9,5.9,3.0,2.7,4.5,2.6,1.6,2.0,3.0,3.5,3.5,3.5,3.2,3.2,3.6,2.3,2.9,3.4,4.0,5.3,12.4,4.8,5.4,8.1,6.4,6.3,4.5,4.5,3.4
WK0363BB,Coenhaven/Minervahaven,667,33.0,wk0363bb,1.8,5.7,1.8,4.6,5.7,1.7,1.8,2.8,1.3,1.4,1.1,1.9,1.7,1.7,1.7,1.3,2.6,1.3,2.5,3.8,3.8,2.2,3.5,9.5,2.2,1.7,5.1,3.1,4.3,3.0,5.7,3.1
WK0363EA,Sloterdijk-West,617,38.0,wk0363ea,1.5,2.8,1.3,2.8,2.8,0.8,1.0,1.6,1.1,0.6,0.5,0.4,0.9,1.0,1.1,1.3,1.3,2.0,0.7,2.1,2.1,1.8,2.5,9.6,2.9,1.7,4.4,2.4,3.6,2.6,2.7,1.6
WK0363EB,Spaarndammerbuurt/Zeeheldenbuurt,1160,81.0,wk0363eb,0.5,5.0,0.6,3.0,5.0,0.4,0.3,1.1,0.3,0.3,0.2,0.7,0.3,0.5,0.7,1.1,1.6,1.1,2.6,2.6,2.6,0.7,1.8,7.6,0.7,0.7,3.4,1.3,2.5,1.2,4.4,2.2
WK0363EC,Houthavens,451,17.0,wk0363ec,0.4,5.4,0.5,3.4,5.4,0.8,0.7,1.4,0.7,0.4,0.3,0.6,0.4,0.3,0.4,0.9,1.9,0.9,2.7,2.6,2.6,1.2,2.2,7.9,1.3,0.5,3.7,1.6,2.9,1.5,4.6,2.6
WK0363ED,De Kolenkit,910,47.0,wk0363ed,0.6,1.4,0.6,1.4,1.4,0.5,0.5,0.9,0.7,0.3,0.4,0.6,0.5,0.6,0.5,1.5,1.5,1.5,0.5,2.8,3.1,1.1,1.3,10.0,1.8,1.4,4.1,2.8,2.5,1.4,1.4,2.4
WK0363EE,Landlust,1669,101.0,wk0363ee,0.6,2.2,0.6,2.2,2.2,0.4,0.3,1.0,0.4,0.3,0.2,0.6,0.3,0.4,0.5,1.3,1.3,1.4,1.0,2.8,2.8,1.2,1.7,9.0,2.4,0.8,3.3,1.9,2.6,1.8,1.8,1.3
WK0363EF,Erasmuspark,606,28.0,wk0363ef,0.3,1.7,0.5,1.7,1.7,0.5,0.3,0.7,0.4,0.3,0.2,0.9,0.3,0.4,0.5,1.5,1.5,1.5,0.7,2.9,3.0,0.8,1.0,9.3,2.3,0.8,3.4,2.2,2.5,1.1,1.1,1.9
WK0363EG,Centrale Markt,407,19.0,wk0363eg,0.6,3.2,0.7,2.6,3.2,0.6,0.4,1.7,0.3,0.3,0.2,0.8,0.3,0.3,0.7,0.8,0.8,0.8,1.9,3.3,3.3,0.9,1.3,7.9,1.6,1.4,2.4,0.9,2.0,1.6,2.6,0.8
