Wijk;Totaal misdrijven
Haarlemmerbuurt;82
Jordaan;135
Grachtengordel-West;87
Burgwallen-Nieuwe Zijde;475
Burgwallen-Oude Zijde;245
Nieuwmarkt/Lastage;152
Grachtengordel-Zuid;238
De Weteringschans;165
Weesperbuurt/Plantage;79
Oostelijke Eilanden/Kadijken;64
Havens-West;23
Coenhaven/Minervahaven;36
Sloterdijk-West;35
Spaarndammerbuurt/Zeeheldenbuurt;67
Houthavens;12
De Kolenkit;43
Landlust;80
Erasmuspark;28
Centrale Markt;25
Staatsliedenbuurt;55
Frederik Hendrikbuurt;45
Van Galenbuurt;29
Geuzenbuurt;38
Hoofdweg e.o.;51
Chassébuurt;21
Bellamybuurt;55
Da Costabuurt;22
Westindische Buurt;26
Van Lennepbuurt;32
Overtoomse Sluis;37
Helmersbuurt;75
Vondelparkbuurt;26
Sloterdijk Nieuw-West;114
Geuzenveld;67
Slotermeer-West;55
Slotermeer-Noordoost;39
Slotermeer-Zuidoost;42
Lutkemeer/Ookmeer;13
De Aker;35
De Punt;43
Osdorp-Midden;68
Osdorp-Oost;111
Slotervaart-Noord;23
Overtoomse Veld;71
Slotervaart-Zuid;81
Westlandgracht;89
Sloten/Nieuw-Sloten;63
Hoofddorppleinbuurt;91
Schinkelbuurt;12
Willemspark;37
Museumkwartier;143
Oude Pijp;151
Nieuwe Pijp;63
Zuid Pijp;33
Stadionbuurt;77
Apollobuurt;65
Scheldebuurt;67
IJselbuurt;24
Rijnbuurt;40
Prinses Irenebuurt e.o.;13
Zuidas;162
Buitenveldert-West;70
Buitenveldert-Oost;42
Oostelijk Havengebied;82
Weesperzijde;68
Oosterparkbuurt;104
Transvaalbuurt;43
Dapperbuurt;126
Indische Buurt-West;51
Indische Buurt-Oost;47
Zeeburgereiland/Bovendiep;31
IJburg-West;44
IJburg-Oost;2
IJburg-Zuid;12
Frankendael;105
Middenmeer;86
Betondorp;15
Omval/Overamstel;43
Oostzanerwerf;42
Noordelijke IJ-oevers-West;98
Tuindorp Oostzaan;44
Kadoelen;10
Banne Buiksloot;44
Nieuwendammerdijk/Buiksloterdijk;6
Elzenhagen;31
Buikslotermeer;78
Waterlandpleinbuurt;52
Volewijck;67
IJplein/Vogelbuurt;41
Tuindorp Buiksloot;10
Tuindorp Nieuwendam;16
Noordelijke IJ-oevers-Oost;17
Waterland;15
Driemond;5
Bloemendalerpolder;5
Weesp-Noordwest;42
Weesp Binnenstad/Zuid;30
Aetsveld/Oostelijke Vechtoever;8
Amstel III/Bullewijk;197
Venserpolder;32
Amsterdamse Poort e.o.;168
H-buurt;40
Ganzenhoef e.o.;48
Geerdinkhof/Kantershof;10
Bijlmermuseum;45
K-buurt;19
Holendrecht;37
Nellestein;20
Reigersbos;33
Gein;26
