wijkcode,wijknaam,aantal_lantaarns,Totaal misdrijven,wijkcode_clean,AfstandTotHuisartsenpraktijk_5,AfstandTotHuisartsenpost_9,AfstandTotApotheek_10,AfstandTotZiekenhuis_11,AfstandTotZiekenhuis_15,AfstandTotGroteSupermarkt_24,AfstandTotOvDagelLevensmiddelen_28,AfstandTotWarenhuis_32,AfstandTotCafeED_36,AfstandTotCafetariaED_40,AfstandTotRestaurant_44,AfstandTotHotelED_48,AfstandTotKinderdagverblijf_52,AfstandTotBuitenschoolseOpvang_56,AfstandTotSchool_60,AfstandTotSchool_64,AfstandTotSchool_68,AfstandTotSchool_72,AfstandTotOpritHoofdverkeersweg_89,AfstandTotTreinstationsTotaal_90,AfstandTotBelangrijkOverstapstation_91,AfstandTotBibliotheek_92,AfstandTotZwembad_93,AfstandTotKunstijsbaan_94,AfstandTotMuseum_95,AfstandTotPodiumkunstenTotaal_99,AfstandTotPoppodium_103,AfstandTotBioscoop_104,AfstandTotSauna_108,AfstandTotZonnebank_109,AfstandTotAttractie_110,AfstandTotBrandweerkazerne_114,inwoners,oppervlakte_ha,oppervlakte_km2,aantal_bomen,Misdrijven_per_1000_inwoners,Lights_per_km2,Trees_per_km2,min_dist_nightlife,mean_dist_nightlife,min_dist_mobility,mean_dist_mobility,min_dist_retail_daily,mean_dist_retail_daily,min_dist_education_youth,mean_dist_education_youth,min_dist_culture_sport_public,mean_dist_culture_sport_public,min_dist_emergency_health,mean_dist_emergency_health
WK0363AA,Haarlemmerbuurt,885,73.0,wk0363aa,0.5,4.5,0.7,2.0,4.5,0.4,0.3,0.7,0.3,0.3,0.1,0.5,0.3,0.6,0.6,0.7,0.7,0.7,3.4,1.6,1.6,1.3,1.4,6.5,1.2,0.7,2.6,0.9,1.5,0.8,3.3,1.9,9135,81.0,0.81,843,7.991242474001094,1092.5925925925926,1040.7407407407406,0.1,0.7833333333333333,1.6,2.1999999999999997,0.3,0.4666666666666666,0.3,0.6000000000000001,0.7,2.4,0.5,2.35
WK0363AB,Jordaan,1330,150.0,wk0363ab,0.4,3.7,0.5,1.5,3.7,0.4,0.2,1.2,0.2,0.2,0.1,0.4,0.4,0.5,0.6,0.7,0.9,0.7,3.2,2.3,2.3,1.1,0.8,6.8,0.6,0.6,1.5,1.0,1.1,0.8,3.2,0.9,19545,95.0,0.95,1211,7.674597083653108,1400.0,1274.7368421052631,0.1,0.5666666666666667,2.3,2.6,0.2,0.6,0.4,0.6333333333333333,0.6,2.183333333333333,0.4,1.7833333333333332
WK0363AC,Grachtengordel-West,665,92.0,wk0363ac,0.4,3.9,0.7,1.0,3.9,0.4,0.2,0.9,0.2,0.2,0.2,0.2,0.5,0.8,0.7,0.8,1.1,0.8,3.6,1.8,1.8,1.5,1.2,6.3,0.5,0.5,1.4,1.2,0.6,0.8,3.1,1.3,6585,57.0,0.57,796,13.971146545178435,1166.6666666666667,1396.4912280701756,0.2,0.5666666666666668,1.8,2.4,0.2,0.5,0.5,0.7833333333333333,0.5,2.183333333333333,0.4,1.8666666666666665
WK0363AD,Burgwallen-Nieuwe Zijde,902,452.0,wk0363ad,0.5,3.7,0.7,0.8,3.7,0.4,0.1,0.6,0.1,0.1,0.0,0.1,0.8,1.2,1.1,1.2,1.4,1.2,4.0,1.5,1.5,1.7,1.6,6.0,0.5,0.8,1.7,1.4,0.5,1.2,2.7,1.7,4335,73.0,0.73,448,104.26758938869665,1235.6164383561645,613.6986301369864,0.0,0.5666666666666667,1.5,2.3333333333333335,0.1,0.3666666666666667,0.8,1.15,0.5,2.216666666666667,0.5,1.8500000000000003
WK0363AE,Burgwallen-Oude Zijde,861,259.0,wk0363ae,0.5,3.2,0.4,1.1,3.2,0.3,0.1,0.7,0.1,0.1,0.1,0.1,0.5,0.7,0.8,1.9,1.9,1.9,4.4,1.1,1.1,1.2,2.1,5.4,0.3,0.5,2.1,1.2,0.5,1.7,2.2,2.0,4565,40.0,0.4,423,56.73603504928806,2152.5,1057.5,0.1,0.6166666666666668,1.1,2.1999999999999997,0.1,0.3666666666666667,0.5,1.2833333333333332,0.3,1.95,0.4,1.7333333333333336
WK0363AF,Nieuwmarkt/Lastage,1273,158.0,wk0363af,0.5,2.6,0.7,1.7,2.6,0.5,0.3,1.3,0.2,0.3,0.2,0.3,0.4,0.5,0.6,2.0,2.0,2.0,4.8,1.3,1.3,1.3,2.4,4.8,0.6,0.6,2.5,1.3,1.1,2.0,1.5,2.5,9910,107.0,1.07,1201,15.943491422805247,1189.7196261682243,1122.429906542056,0.2,0.7999999999999999,1.3,2.4666666666666663,0.3,0.7000000000000001,0.4,1.25,0.6,1.8666666666666665,0.5,1.7666666666666666
WK0363AG,Grachtengordel-Zuid,698,230.0,wk0363ag,0.6,2.5,0.5,1.5,2.5,0.4,0.1,1.0,0.2,0.2,0.1,0.2,0.5,0.7,0.8,1.1,1.7,1.1,3.7,2.4,2.4,1.9,1.4,5.2,0.4,0.5,1.2,0.5,1.3,0.9,2.2,2.0,5865,64.0,0.64,823,39.21568627450981,1090.625,1285.9375,0.1,0.4000000000000001,2.4,2.8333333333333335,0.1,0.5,0.5,0.9833333333333334,0.4,1.9333333333333336,0.5,1.5999999999999999
WK0363AH,De Weteringschans,911,169.0,wk0363ah,0.5,2.4,0.5,1.8,2.4,0.5,0.3,1.4,0.3,0.3,0.2,0.2,0.5,0.5,0.6,0.8,1.4,0.8,3.4,2.8,2.9,1.6,1.1,5.1,0.6,0.5,1.0,0.8,1.7,0.6,2.2,1.9,7555,65.0,0.65,1080,22.369291859695565,1401.5384615384614,1661.5384615384614,0.2,0.46666666666666673,2.8,3.033333333333333,0.3,0.7333333333333334,0.5,0.7666666666666667,0.5,1.8500000000000003,0.5,1.5833333333333333
WK0363AJ,Weesperbuurt/Plantage,751,73.0,wk0363aj,0.5,1.4,0.7,1.3,1.4,0.6,0.4,1.9,0.4,0.4,0.3,0.4,0.5,0.5,0.6,1.1,1.1,1.1,4.1,1.9,2.3,1.6,1.6,3.8,0.6,0.8,2.2,0.7,1.9,1.2,0.8,1.9,7835,92.0,0.92,1412,9.317166560306317,816.3043478260869,1534.782608695652,0.3,0.7333333333333334,1.9,2.766666666666667,0.4,0.9666666666666667,0.5,0.8166666666666668,0.6,1.5333333333333334,0.5,1.2
WK0363AK,Oostelijke Eilanden/Kadijken,1315,82.0,wk0363ak,0.7,2.3,0.6,2.3,2.3,0.6,0.4,2.0,0.5,0.4,0.3,0.5,0.5,0.5,0.7,1.6,1.6,1.6,4.1,1.7,2.3,1.7,2.4,3.7,1.0,1.5,2.6,2.0,2.1,1.5,1.7,1.8,14670,130.0,1.3,2457,5.589638718473075,1011.5384615384615,1890.0,0.3,1.05,1.7,2.6999999999999997,0.4,1.0,0.5,1.0833333333333333,1.0,2.0,0.6,1.6666666666666667
WK0363BA,Havens-West,3053,21.0,wk0363ba,3.8,5.9,3.9,5.9,5.9,3.0,2.7,4.5,2.6,1.6,2.0,3.0,3.5,3.5,3.5,3.2,3.2,3.6,2.3,2.9,3.4,4.0,5.3,12.4,4.8,5.4,8.1,6.4,6.3,4.5,4.5,3.4,35,2556.0,25.56,414,600.0,119.44444444444446,16.19718309859155,1.6,3.9500000000000006,2.3,2.8666666666666667,2.7,3.4,3.2,3.4166666666666665,4.0,6.066666666666667,3.4,4.8
WK0363BB,Coenhaven/Minervahaven,667,33.0,wk0363bb,1.8,5.7,1.8,4.6,5.7,1.7,1.8,2.8,1.3,1.4,1.1,1.9,1.7,1.7,1.7,1.3,2.6,1.3,2.5,3.8,3.8,2.2,3.5,9.5,2.2,1.7,5.1,3.1,4.3,3.0,5.7,3.1,975,343.0,3.43,145,33.84615384615385,194.46064139941691,42.27405247813411,1.1,2.316666666666667,2.5,3.3666666666666667,1.7,2.1,1.3,1.7166666666666668,1.7,4.133333333333333,1.8,3.783333333333333
WK0363EA,Sloterdijk-West,617,38.0,wk0363ea,1.5,2.8,1.3,2.8,2.8,0.8,1.0,1.6,1.1,0.6,0.5,0.4,0.9,1.0,1.1,1.3,1.3,2.0,0.7,2.1,2.1,1.8,2.5,9.6,2.9,1.7,4.4,2.4,3.6,2.6,2.7,1.6,660,121.0,1.21,2508,57.57575757575758,509.91735537190084,2072.727272727273,0.4,1.5666666666666667,0.7,1.6333333333333335,0.8,1.1333333333333335,0.9,1.2666666666666666,1.7,3.5333333333333328,1.3,2.1333333333333333
WK0363EB,Spaarndammerbuurt/Zeeheldenbuurt,1160,81.0,wk0363eb,0.5,5.0,0.6,3.0,5.0,0.4,0.3,1.1,0.3,0.3,0.2,0.7,0.3,0.5,0.7,1.1,1.6,1.1,2.6,2.6,2.6,0.7,1.8,7.6,0.7,0.7,3.4,1.3,2.5,1.2,4.4,2.2,10815,141.0,1.41,4368,7.489597780859916,822.6950354609929,3097.872340425532,0.2,1.0333333333333334,2.6,2.6,0.3,0.6,0.3,0.8833333333333334,0.7,2.65,0.5,2.716666666666667
WK0363EC,Houthavens,451,17.0,wk0363ec,0.4,5.4,0.5,3.4,5.4,0.8,0.7,1.4,0.7,0.4,0.3,0.6,0.4,0.3,0.4,0.9,1.9,0.9,2.7,2.6,2.6,1.2,2.2,7.9,1.3,0.5,3.7,1.6,2.9,1.5,4.6,2.6,4660,92.0,0.92,795,3.648068669527897,490.2173913043478,864.1304347826086,0.3,1.2166666666666668,2.6,2.6333333333333333,0.7,0.9666666666666667,0.3,0.7999999999999999,0.5,2.9500000000000006,0.4,2.9500000000000006
WK0363ED,De Kolenkit,910,47.0,wk0363ed,0.6,1.4,0.6,1.4,1.4,0.5,0.5,0.9,0.7,0.3,0.4,0.6,0.5,0.6,0.5,1.5,1.5,1.5,0.5,2.8,3.1,1.1,1.3,10.0,1.8,1.4,4.1,2.8,2.5,1.4,1.4,2.4,11770,74.0,0.74,1834,3.9932030586236196,1229.7297297297298,2478.3783783783783,0.3,1.4833333333333334,0.5,2.1333333333333333,0.5,0.6333333333333333,0.5,1.0166666666666666,1.1,2.8333333333333335,0.6,1.3
WK0363EE,Landlust,1669,101.0,wk0363ee,0.6,2.2,0.6,2.2,2.2,0.4,0.3,1.0,0.4,0.3,0.2,0.6,0.3,0.4,0.5,1.3,1.3,1.4,1.0,2.8,2.8,1.2,1.7,9.0,2.4,0.8,3.3,1.9,2.6,1.8,1.8,1.3,18640,109.0,1.09,2564,5.418454935622318,1531.1926605504586,2352.293577981651,0.2,1.1166666666666665,1.0,2.1999999999999997,0.3,0.5666666666666667,0.3,0.8666666666666666,0.8,2.816666666666667,0.6,1.5166666666666666
WK0363EF,Erasmuspark,606,28.0,wk0363ef,0.3,1.7,0.5,1.7,1.7,0.5,0.3,0.7,0.4,0.3,0.2,0.9,0.3,0.4,0.5,1.5,1.5,1.5,0.7,2.9,3.0,0.8,1.0,9.3,2.3,0.8,3.4,2.2,2.5,1.1,1.1,1.9,5740,41.0,0.41,1548,4.878048780487805,1478.048780487805,3775.6097560975613,0.2,1.2333333333333334,0.7,2.1999999999999997,0.3,0.5,0.3,0.9500000000000001,0.8,2.5500000000000003,0.3,1.3
WK0363EG,Centrale Markt,407,19.0,wk0363eg,0.6,3.2,0.7,2.6,3.2,0.6,0.4,1.7,0.3,0.3,0.2,0.8,0.3,0.3,0.7,0.8,0.8,0.8,1.9,3.3,3.3,0.9,1.3,7.9,1.6,1.4,2.4,0.9,2.0,1.6,2.6,0.8,2340,57.0,0.57,887,8.119658119658121,714.0350877192983,1556.1403508771932,0.2,0.8166666666666668,1.9,2.8333333333333335,0.4,0.9,0.3,0.6166666666666666,0.9,2.6166666666666667,0.6,1.8500000000000003
